GAUGE,YEAR_OPENE,InLine_FID,SimLnFLag,POINT_X,POINT_Y
3.3,1883,198,0,86.00806933,25.42770145
3.3,1883,198,0,86.01746933,25.48250145
3.3,1883,198,0,85.90526933,25.60940145
3.3,1883,198,0,85.84696933,25.68430145
3.3,1883,199,0,85.93936933,26.19240145
3.3,1883,199,0,86.12716933,26.22900145
3.3,1883,200,0,84.50856933,26.80920145
3.3,1883,200,0,84.73826933,26.76310145
3.3,1883,200,0,84.89936933,26.68530145
3.3,1883,200,0,84.91126933,26.52710145
3.3,1883,200,0,85.14616933,26.23920145
3.3,1883,200,0,85.38036933,26.08820145
3.3,1883,201,0,94.84906933,27.43870145
3.3,1883,201,0,95.41066933,27.49010145
3.3,1883,201,0,95.50196933,27.49440145
3.3,1883,202,0,75.73216933,29.14920145
3.3,1883,202,0,75.96166933,29.07910145
3.3,1883,202,0,76.61966933,28.19890145
3.3,1884,203,0,77.54566933,13.06160145
3.3,1884,203,0,77.14786933,13.34500145
3.3,1884,203,0,77.01646933,13.31380145
3.3,1884,204,0,76.32366933,15.32740145
3.3,1884,204,0,76.51436933,15.20360145
3.3,1884,204,0,76.95746933,15.16410145
3.3,1884,205,1,75.93236933,17.64600145
3.3,1884,205,1,75.97736933,17.27430145
3.3,1884,205,1,75.71246933,16.79570145
3.3,1884,205,1,75.87956933,16.40700145
3.3,1884,205,1,75.69246933,16.17890145
3.3,1884,205,1,75.59056933,15.50870145
3.3,1884,205,1,75.63706933,15.45350145
3.3,1884,206,0,72.99766933,26.01880145
3.3,1884,206,0,73.19306933,25.83960145
3.3,1884,206,0,73.60676933,25.72130145
3.3,1884,207,0,85.38036933,26.08820145
3.3,1884,207,0,85.24816933,25.71150145
3.3,1884,208,0,82.31896933,26.77640145
3.3,1884,208,0,82.14936933,26.86950145
3.3,1884,208,0,82.22206933,27.02820145
3.3,1884,208,0,81.98176933,27.17960145
3.3,1884,208,0,81.59696933,27.59740145
3.3,1884,209,0,95.72366933,27.24130145
3.3,1884,209,0,95.50196933,27.49440145
3.3,1884,209,0,95.59016933,27.55730145
3.3,1884,210,0,79.61666933,27.38620145
3.3,1884,210,0,79.59776933,27.40130145
3.3,1884,210,0,78.85626933,27.78480145
3.3,1884,210,0,78.63196933,27.78540145
3.3,1884,210,0,78.17276933,27.64820145
3.3,1884,210,0,77.65896933,27.52000145
3.3,1884,210,0,77.65596933,27.51600145
3.3,1884,211,0,77.65596933,27.51600145
3.3,1884,211,0,77.66046933,27.50940145
3.3,1884,211,0,77.71936933,27.16240145
3.3,1884,212,0,77.65896933,27.52000145
3.3,1884,212,0,77.65596933,27.51600145
3.3,1884,212,0,77.65896933,27.52000145
3.3,1884,212,0,77.68686933,27.61210145
3.3,1884,213,0,79.45276933,28.52780145
3.3,1884,213,0,79.42326933,28.36040145
3.3,1884,214,0,79.45276933,28.52780145
3.3,1884,214,0,79.80596933,28.63990145
3.3,1884,215,0,79.45276933,28.52780145
3.3,1884,215,0,79.53296933,29.10630145
3.3,1884,215,0,79.55306933,29.31320145
3.3,1884,216,0,74.84306933,30.60490145
3.3,1884,216,0,74.85266933,30.40100145
3.3,1884,216,0,74.96686933,30.20870145
3.3,1884,216,0,75.08876933,29.54420145
3.3,1884,216,0,75.73216933,29.14920145
3.3,1885,217,0,75.14326933,15.44110145
3.3,1885,217,0,75.63706933,15.45350145
3.3,1885,217,0,76.32366933,15.32740145
3.3,1885,218,0,74.95736933,15.55650145
3.3,1885,218,0,74.96496933,15.55600145
3.3,1885,218,0,75.14516933,15.44290145
3.3,1885,219,0,90.50596933,23.62630145
3.3,1885,219,0,90.38466933,23.72250145
3.3,1885,219,0,90.41086933,23.90550145
3.3,1885,219,0,90.54826933,24.43930145
3.3,1885,219,0,90.42546933,24.73490145
3.3,1885,220,0,85.10166933,25.71910145
3.3,1885,220,0,85.15626933,25.75820145
3.3,1885,220,0,84.76736933,25.78550145
3.3,1885,220,0,84.45186933,26.10880145
3.3,1885,220,0,84.35836933,26.22960145
3.3,1885,220,0,84.13676933,26.27780145
3.3,1885,220,0,83.92676933,26.43290145
3.3,1885,220,0,83.39046933,26.79490145
3.3,1885,220,0,82.88096933,26.76800145
3.3,1885,220,0,82.22206933,27.02820145
3.3,1885,221,0,73.03156933,26.12850145
